age_revolu,nbr_homme,nbr_femme,total
0,391371,374179,765550
1,403204,385442,788646
2,405502,386831,792333
3,412383,391853,804236
4,416626,399632,816258
5,428658,408165,836823
6,427994,407003,834997
7,429873,409936,839809
8,427932,408651,836583
9,435182,414767,849949
10,426532,406488,833020
11,423605,404592,828197
12,421432,402484,823916
13,424464,404109,828573
14,430033,411150,841183
15,439629,419547,859176
16,422275,400070,822345
17,416342,398292,814634
18,406153,385873,792026
19,402393,384811,787204
20,390860,376849,767709
21,374106,363353,737459
22,367552,360635,728187
23,383847,377939,761786
24,385005,385410,770415
25,390859,393321,784180
26,387831,396216,784047
27,390568,401806,792374
28,390809,402079,792888
29,395458,411470,806928
30,395880,410141,806021
31,392967,411473,804440
32,390410,405286,795696
33,415402,431631,847033
34,418972,437306,856278
35,426738,441113,867851
36,403920,417763,821683
37,398721,409329,808050
38,404995,411882,816877
39,395119,403224,798343
40,406079,414193,820272
41,431844,435633,867477
42,453905,460417,914322
43,466619,471264,937883
44,462468,467814,930282
45,453386,459347,912733
46,444016,453873,897889
47,439137,452924,892061
48,436587,448846,885433
49,447450,459802,907252
50,448831,461062,909893
51,451769,468487,920256
52,446760,463651,910411
53,430259,447281,877540
54,428621,448202,876823
55,426926,445407,872333
56,421833,444240,866073
57,411346,434377,845723
58,407696,434581,842277
59,401465,431634,833099
60,394295,427759,822054
61,394589,426528,821117
62,382436,417477,799913
63,386957,424714,811671
64,375457,413438,788895
65,389830,428971,818801
66,378699,422003,800702
67,377750,418084,795834
68,367375,408946,776321
69,345497,389013,734510
70,259031,294369,553400
71,249556,287619,537175
72,240127,278588,518715
73,221222,257761,478983
74,193359,231524,424883
75,197923,242082,440005
76,201519,253070,454589
77,193552,248966,442518
78,183665,244370,428035
79,178040,243626,421666
80,166466,238143,404609
81,160613,237979,398592
82,145218,223954,369172
83,141272,225257,366529
84,127309,210938,338247
85,116241,202954,319195
86,97489,180249,277738
87,86122,165344,251466
88,72603,149288,221891
89,61130,134597,195727
90,50602,119846,170448
91,40115,101293,141408
92,31800,86225,118025
93,25053,72620,97673
94,19172,58621,77793
95,14102,46471,60573
96,6011,21172,27183
97,3649,13644,17293
98,2013,9475,11488
99,1324,6313,7637
100 ou plus,3505,17888,21393
