age_revolu,femme,homme,total
0,374179,391371,765550
1,385442,403204,788646
2,386831,405502,792333
3,391853,412383,804236
4,399632,416626,816258
5,408165,428658,836823
6,407003,427994,834997
7,409936,429873,839809
8,408651,427932,836583
9,414767,435182,849949
10,406488,426532,833020
11,404592,423605,828197
12,402484,421432,823916
13,404109,424464,828573
14,411150,430033,841183
15,419547,439629,859176
16,400070,422275,822345
17,398292,416342,814634
18,385873,406153,792026
19,384811,402393,787204
20,376849,390860,767709
21,363353,374106,737459
22,360635,367552,728187
23,377939,383847,761786
24,385410,385005,770415
25,393321,390859,784180
26,396216,387831,784047
27,401806,390568,792374
28,402079,390809,792888
29,411470,395458,806928
30,410141,395880,806021
31,411473,392967,804440
32,405286,390410,795696
33,431631,415402,847033
34,437306,418972,856278
35,441113,426738,867851
36,417763,403920,821683
37,409329,398721,808050
38,411882,404995,816877
39,403224,395119,798343
40,414193,406079,820272
41,435633,431844,867477
42,460417,453905,914322
43,471264,466619,937883
44,467814,462468,930282
45,459347,453386,912733
46,453873,444016,897889
47,452924,439137,892061
48,448846,436587,885433
49,459802,447450,907252
50,461062,448831,909893
51,468487,451769,920256
52,463651,446760,910411
53,447281,430259,877540
54,448202,428621,876823
55,445407,426926,872333
56,444240,421833,866073
57,434377,411346,845723
58,434581,407696,842277
59,431634,401465,833099
60,427759,394295,822054
61,426528,394589,821117
62,417477,382436,799913
63,424714,386957,811671
64,413438,375457,788895
65,428971,389830,818801
66,422003,378699,800702
67,418084,377750,795834
68,408946,367375,776321
69,389013,345497,734510
70,294369,259031,553400
71,287619,249556,537175
72,278588,240127,518715
73,257761,221222,478983
74,231524,193359,424883
75,242082,197923,440005
76,253070,201519,454589
77,248966,193552,442518
78,244370,183665,428035
79,243626,178040,421666
80,238143,166466,404609
81,237979,160613,398592
82,223954,145218,369172
83,225257,141272,366529
84,210938,127309,338247
85,202954,116241,319195
86,180249,97489,277738
87,165344,86122,251466
88,149288,72603,221891
89,134597,61130,195727
90,119846,50602,170448
91,101293,40115,141408
92,86225,31800,118025
93,72620,25053,97673
94,58621,19172,77793
95,46471,14102,60573
96,21172,6011,27183
97,13644,3649,17293
98,9475,2013,11488
99,6313,1324,7637
100,17888,3505,21393
