age,homme,,,femme,,
,Femme plus jeune,"Conjoints du ""même âge""*",Femme plus âgée,Homme plus âgé,"Conjoints du ""même âge""*",Homme plus jeune
20,10.16,66.01,23.84,69.65,29.72,0.63
21,16.49,62.77,20.75,66.64,32.01,1.35
22,22.33,58.48,19.18,64.74,33.21,2.05
23,27.13,54.30,18.57,63.70,33.45,2.85
24,30.73,51.84,17.42,62.28,34.11,3.61
25,33.91,49.08,17.01,61.48,33.58,4.94
26,37.08,46.29,16.63,60.61,33.85,5.54
27,39.77,43.69,16.54,60.04,33.56,6.39
28,41.99,42.20,15.81,59.31,33.49,7.20
29,44.11,40.06,15.83,59.28,32.61,8.10
30,45.77,38.53,15.70,58.66,32.56,8.78
31,47.37,36.74,15.90,58.77,31.88,9.35
32,49.13,35.37,15.50,58.72,31.15,10.13
33,50.50,33.93,15.56,58.66,30.57,10.77
34,51.73,32.41,15.86,59.14,29.50,11.35
35,52.19,31.48,16.33,58.68,29.76,11.57
36,52.79,31.12,16.09,58.18,29.72,12.10
37,52.49,31.33,16.18,57.23,30.15,12.62
38,52.55,31.26,16.19,56.62,30.68,12.71
39,52.67,31.05,16.29,56.04,30.60,13.36
40,52.94,31.17,15.89,55.75,30.45,13.80
41,53.61,30.39,16.00,55.88,29.95,14.16
42,54.35,29.38,16.27,56.73,28.79,14.48
43,55.02,28.77,16.20,56.28,28.78,14.94
44,55.09,28.42,16.49,56.42,28.40,15.18
45,55.76,28.43,15.81,56.28,28.55,15.18
46,56.27,28.15,15.57,56.16,28.50,15.34
47,56.39,28.32,15.29,56.04,28.20,15.76
48,56.86,28.07,15.08,55.99,28.40,15.61
49,57.18,27.83,14.99,56.51,27.78,15.72
50,57.85,27.46,14.69,56.79,27.47,15.74
51,58.17,27.56,14.27,56.86,27.43,15.71
52,58.27,27.24,14.48,57.00,27.41,15.59
53,58.56,27.32,14.12,56.99,27.66,15.36
54,58.55,27.28,14.17,56.93,27.65,15.42
55,58.46,27.51,14.03,57.17,27.68,15.15
56,58.62,27.84,13.53,56.31,28.37,15.32
57,58.46,28.14,13.39,55.90,28.73,15.37
58,58.71,28.19,13.10,55.24,29.26,15.50
59,58.72,28.28,13.00,55.25,29.31,15.44
60,58.92,28.72,12.36,54.26,30.21,15.53
61,59.05,28.90,12.05,53.04,31.25,15.71
62,58.83,29.99,11.18,51.99,32.34,15.67
63,59.54,29.96,10.50,51.94,32.30,15.77
64,60.41,29.61,9.99,52.00,32.15,15.85
65,61.74,28.79,9.47,52.38,31.64,15.99
66,62.89,27.75,9.36,53.91,29.95,16.15
67,64.23,26.37,9.40,55.16,29.05,15.79
68,65.56,24.85,9.59,56.45,27.83,15.72
69,65.96,24.24,9.79,57.58,27.11,15.30
70,65.77,24.08,10.15,58.06,27.30,14.64
71,65.79,23.70,10.51,58.76,27.07,14.17
72,65.32,23.95,10.73,57.93,27.85,14.23
73,64.76,24.41,10.82,57.54,28.26,14.20
74,64.81,24.68,10.51,56.68,28.87,14.45
75,64.81,24.85,10.34,55.77,29.18,15.05
76,65.17,24.77,10.07,55.00,29.27,15.73
77,65.65,24.69,9.66,53.80,30.14,16.06
78,66.51,24.44,9.04,52.38,30.74,16.88
79,66.75,24.54,8.72,51.71,30.97,17.32
80,67.40,24.43,8.17,50.01,31.85,18.13
81,68.26,23.82,7.92,47.97,32.53,19.49
82,68.81,23.80,7.39,46.98,32.57,20.46
83,70.37,22.45,7.19,45.18,33.59,21.23
84,71.30,21.64,7.06,44.12,33.41,22.47
85,71.82,21.62,6.56,41.57,34.50,23.93
86,72.02,22.17,5.81,39.54,35.70,24.75
87,73.85,20.61,5.54,36.28,35.11,28.61
88,75.74,19.99,4.27,31.84,37.60,30.56
89,77.17,19.25,3.58,27.53,36.91,35.56
90,80.51,16.59,2.90,24.54,37.35,38.11
91,82.38,15.50,2.12,20.27,35.88,43.86
92,85.49,12.66,1.85,19.40,30.26,50.34
93,89.17,9.33,1.49,17.02,24.83,58.15
94,91.76,7.14,1.09,13.73,24.25,62.03
95,89.31,9.51,1.18,14.03,25.68,60.29
